ref_date,site,value
1971-04-01,SS Klondike,0
1971-05-01,SS Klondike,0
1971-06-01,SS Klondike,3603
1971-07-01,SS Klondike,6392
1971-08-01,SS Klondike,4777
1971-09-01,SS Klondike,656
1971-10-01,SS Klondike,10
1971-11-01,SS Klondike,0
1971-12-01,SS Klondike,0
1972-01-01,SS Klondike,0
1972-02-01,SS Klondike,0
1972-03-01,SS Klondike,310
1972-04-01,SS Klondike,144
1972-05-01,SS Klondike,40
1972-06-01,SS Klondike,9229
1972-07-01,SS Klondike,13684
1972-08-01,SS Klondike,9086
1972-09-01,SS Klondike,906
1972-10-01,SS Klondike,0
1972-11-01,SS Klondike,11
1972-12-01,SS Klondike,0
1973-01-01,SS Klondike,0
1973-02-01,SS Klondike,0
1973-03-01,SS Klondike,190
1973-04-01,SS Klondike,43
1973-04-01,Chilkoot Trail,0
1973-05-01,Chilkoot Trail,0
1973-05-01,SS Klondike,88
1973-06-01,SS Klondike,7379
1973-06-01,Chilkoot Trail,115
1973-07-01,Chilkoot Trail,504
1973-07-01,SS Klondike,12775
1973-08-01,SS Klondike,8400
1973-08-01,Chilkoot Trail,362
1973-09-01,Chilkoot Trail,0
1973-09-01,SS Klondike,795
1973-10-01,SS Klondike,0
1973-10-01,Chilkoot Trail,0
1973-11-01,Chilkoot Trail,0
1973-11-01,SS Klondike,0
1973-12-01,SS Klondike,0
1973-12-01,Chilkoot Trail,0
1974-01-01,Chilkoot Trail,0
1974-01-01,SS Klondike,0
1974-02-01,SS Klondike,0
1974-02-01,Chilkoot Trail,0
1974-03-01,Chilkoot Trail,0
1974-03-01,SS Klondike,0
1974-04-01,SS Klondike,0
1974-04-01,Chilkoot Trail,0
1974-05-01,Chilkoot Trail,13
1974-05-01,SS Klondike,0
1974-06-01,SS Klondike,6565
1974-06-01,Chilkoot Trail,104
1974-07-01,Chilkoot Trail,478
1974-07-01,SS Klondike,9203
1974-08-01,SS Klondike,6417
1974-08-01,Chilkoot Trail,681
1974-09-01,Chilkoot Trail,70
1974-09-01,SS Klondike,1412
1974-10-01,SS Klondike,0
1974-10-01,Chilkoot Trail,0
1974-11-01,Chilkoot Trail,0
1974-11-01,SS Klondike,0
1974-12-01,SS Klondike,0
1974-12-01,Chilkoot Trail,0
1975-01-01,Chilkoot Trail,0
1975-01-01,SS Klondike,0
1975-02-01,SS Klondike,0
1975-02-01,Chilkoot Trail,0
1975-03-01,Chilkoot Trail,0
1975-03-01,SS Klondike,98
