"year","Country_of_residence","value"
2023,Algeria,22
2023,Antigua and Barbuda,2
2023,Argentina,131
2023,Aruba,5
2023,Australia,8588
2023,Austria,306
2023,Bahamas,75
2023,Bahrain,5
2023,Bangladesh,15
2023,Barbados,35
2023,Belarus,10
2023,Belgium,247
2023,Bermuda,12
2023,Bolivia,10
2023,Bosnia and Herzegovina,2
2023,Brazil,559
2023,Bulgaria,8
2023,Cambodia,31
2023,Cameroon,9
2023,Canada,89342
2023,Cayman Islands,14
2023,Chile,164
2023,China,2554
2023,Colombia,291
2023,"Congo, Democratic Republic of the",6
2023,Costa Rica,76
2023,Croatia,12
2023,Cuba,12
2023,Cyprus,4
2023,Czechia,176
2023,Denmark,97
2023,Dominican Republic,41
2023,Ecuador,9
2023,Egypt,19
2023,El Salvador,2
2023,Estonia,34
2023,Eswatini,7
2023,Fiji,25
2023,Finland,52
2023,France,3279
2023,Gambia,1
2023,Georgia,2
2023,Germany,3968
2023,Ghana,2
2023,Gibraltar,2
2023,Greece,21
2023,Greenland,1
2023,Grenada,1
2023,Guatemala,37
2023,Guyana,3
2023,Haiti,41
2023,Honduras,24
2023,Hong Kong,867
2023,Hungary,92
2023,Iceland,17
2023,India,2311
2023,Indonesia,315
2023,Iran,123
2023,Iraq,1
2023,Ireland,460
2023,Israel,296
2023,Italy,458
2023,Jamaica,22
2023,Japan,964
2023,Jordan,2
2023,Kazakhstan,3
2023,Kenya,20
2023,"Korea, South",1356
2023,Kuwait,25
2023,Kyrgyzstan,5
2023,Laos,4
2023,Latvia,42
2023,Lebanon,3
2023,Liberia,4
2023,Liechtenstein,9
2023,Lithuania,17
2023,Luxembourg,32
2023,Macao,5
2023,Malaysia,186
2023,Mali,9
2023,Malta,112
2023,Mauritania,1
2023,Mauritius,15
2023,Mexico,4051
2023,Mongolia,3
2023,Morocco,43
2023,Nepal,13
2023,Netherlands,911
2023,New Zealand,1221
2023,Nicaragua,5
2023,Nigeria,33
2023,Norway,92
2023,Oman,5
2023,Pakistan,14
2023,Panama,19
2023,Papua New Guinea,2
2023,Paraguay,6
2023,Peru,92
2023,Philippines,892
2023,Poland,180
2023,Portugal,104
2023,Puerto Rico,4
2023,Qatar,19
2023,Romania,168
2023,Russian Federation,24
2023,Rwanda,6
2023,Saint Vincent and the Grenadines,27
2023,Samoa,1
2023,Saudi Arabia,16
2023,Serbia,6
2023,Singapore,1185
2023,Slovakia,28
2023,Slovenia,30
2023,"South Africa, Republic of",89
2023,Spain,647
2023,Sri Lanka,15
2023,Suriname,2
2023,Sweden,108
2023,Switzerland,662
2023,Syria,2
2023,Taiwan,1145
2023,Tanzania,9
2023,Thailand,167
2023,Togo,1
2023,Tonga,2
2023,Trinidad and Tobago,54
2023,Türkiye,60
2023,Turks and Caicos Islands,5
2023,Uganda,6
2023,Ukraine,37
2023,United Arab Emirates,29
2023,United Kingdom,6833
2023,United States,316527
2023,Uruguay,6
2023,Uzbekistan,5
2023,Venezuela,4
2023,Viet Nam,194
2023,Zimbabwe,52
