"year","geo","value"
1972,Old Crow,815
1972,Little Gold Creek,51305
1972,Beaver Creek,388195
1972,Pleasant Camp,148875
1972,Dawson,865
1972,Fraser,144075
1972,Whitehorse,36362
1973,Pleasant Camp,168729
1973,Beaver Creek,432330
1973,Fraser,206365
1973,Dawson,1045
1973,Little Gold Creek,63190
1973,Whitehorse,38780
1973,Old Crow,0
1974,Pleasant Camp,203946
1974,Little Gold Creek,51675
1974,Whitehorse,48223
1974,Beaver Creek,400068
1974,Dawson,1290
1974,Old Crow,515
1974,Fraser,209325
1975,Dawson,2025
1975,Pleasant Camp,219354
1975,Little Gold Creek,61298
1975,Beaver Creek,432970
1975,Whitehorse,54021
1975,Old Crow,740
1975,Fraser,226015
1976,Old Crow,610
1976,Dawson,2685
1976,Little Gold Creek,61118
1976,Pleasant Camp,184615
1976,Fraser,243850
1976,Beaver Creek,415173
1976,Whitehorse,61870
1977,Dawson,2660
1977,Pleasant Camp,160430
1977,Whitehorse,48455
1977,Fraser,275330
1977,Little Gold Creek,59945
1977,Beaver Creek,351471
1977,Old Crow,835
1978,Old Crow,1450
1978,Beaver Creek,465524
1978,Dawson,3745
1978,Whitehorse,64089
1978,Fraser,230735
1978,Pleasant Camp,208724
1978,Little Gold Creek,75685
1979,Little Gold Creek,58335
1979,Pleasant Camp,154380
1979,Fraser,385029
1979,Whitehorse,61189
1979,Old Crow,1330
1979,Beaver Creek,431350
1979,Dawson,3774
1980,Whitehorse,53309
1980,Old Crow,1030
1980,Little Gold Creek,64706
1980,Pleasant Camp,169117
1980,Beaver Creek,328310
1980,Dawson,4811
1980,Fraser,292246
1981,Pleasant Camp,185525
1981,Dawson,3776
1981,Beaver Creek,434820
1981,Little Gold Creek,70561
1981,Old Crow,1265
1981,Whitehorse,52641
1981,Fraser,334265
1982,Fraser,311635
1982,Pleasant Camp,188360
1982,Dawson,3023
1982,Whitehorse,47489
1982,Old Crow,820
1982,Little Gold Creek,64950
1982,Beaver Creek,453364
1983,Beaver Creek,520888
1983,Little Gold Creek,68579
1983,Dawson,2371
1983,Pleasant Camp,174665
1983,Fraser,349175
1983,Old Crow,1245
1983,Whitehorse,42089
1984,Little Gold Creek,64610
1984,Beaver Creek,592825
1984,Old Crow,1365
1984,Dawson,4530
1984,Pleasant Camp,192376
1984,Fraser,334165
1984,Whitehorse,44691
1985,Whitehorse,42442
1985,Beaver Creek,640904
1985,Little Gold Creek,70450
1985,Old Crow,1500
1985,Fraser,405732
1985,Pleasant Camp,173054
1985,Dawson,21121
1986,Fraser,525179
1986,Dawson,19284
1986,Old Crow,1853
