"year","Traveller_characteristics","value"
1972,Residents of countries other than the United States of America entering Canada,697
1972,United States of America residents entering Canada,131986
1972,Canadian-resident visitors returning to Canada,15614
1973,Canadian-resident visitors returning to Canada,18247
1973,United States of America residents entering Canada,151869
1973,Residents of countries other than the United States of America entering Canada,869
1974,Canadian-resident visitors returning to Canada,18894
1974,United States of America residents entering Canada,144887
1974,Residents of countries other than the United States of America entering Canada,1226
1975,Residents of countries other than the United States of America entering Canada,1709
1975,Canadian-resident visitors returning to Canada,18900
1975,United States of America residents entering Canada,157287
1976,United States of America residents entering Canada,161755
1976,Residents of countries other than the United States of America entering Canada,1942
1976,Canadian-resident visitors returning to Canada,18218
1977,United States of America residents entering Canada,151115
1977,Canadian-resident visitors returning to Canada,17426
1977,Residents of countries other than the United States of America entering Canada,1843
1978,Canadian-resident visitors returning to Canada,27122
1978,Residents of countries other than the United States of America entering Canada,2313
1978,United States of America residents entering Canada,170094
1979,Canadian-resident visitors returning to Canada,38971
1979,United States of America residents entering Canada,168346
1979,Residents of countries other than the United States of America entering Canada,2374
1980,Canadian-resident visitors returning to Canada,38479
1980,Residents of countries other than the United States of America entering Canada,5232
1980,United States of America residents entering Canada,131841
1981,Canadian-resident visitors returning to Canada,48331
1981,Residents of countries other than the United States of America entering Canada,9068
1981,United States of America residents entering Canada,152121
1982,Canadian-resident visitors returning to Canada,44082
1982,United States of America residents entering Canada,155177
1982,Residents of countries other than the United States of America entering Canada,6895
1983,Residents of countries other than the United States of America entering Canada,6619
1983,Canadian-resident visitors returning to Canada,42852
1983,United States of America residents entering Canada,176048
1984,United States of America residents entering Canada,189893
1984,Residents of countries other than the United States of America entering Canada,6172
1984,Canadian-resident visitors returning to Canada,44866
1985,United States of America residents entering Canada,212739
1985,Canadian-resident visitors returning to Canada,46583
1985,Residents of countries other than the United States of America entering Canada,5654
1986,Canadian-resident visitors returning to Canada,52176
1986,Residents of countries other than the United States of America entering Canada,8510
1986,United States of America residents entering Canada,226704
1987,Canadian-resident visitors returning to Canada,59882
1987,Residents of countries other than the United States of America entering Canada,10063
1987,United States of America residents entering Canada,221924
1988,United States of America residents entering Canada,203440
1988,Residents of countries other than the United States of America entering Canada,11834
1988,Canadian-resident visitors returning to Canada,58285
1989,Canadian-resident visitors returning to Canada,64668
1989,United States of America residents entering Canada,193846
1989,Residents of countries other than the United States of America entering Canada,12934
1990,Residents of countries other than the United States of America entering Canada,13809
1990,United States of America residents entering Canada,199993
1990,Canadian-resident visitors returning to Canada,66995
1991,Canadian-resident visitors returning to Canada,64684
1991,United States of America residents entering Canada,194640
1991,Residents of countries other than the United States of America entering Canada,15887
1992,United States of America residents entering Canada,217099
