"year","type","geo","count"
1972,Automobile,Beaver Creek,67772
1972,Automobile,Fraser,2209
1972,Automobile,Little Gold Creek,9765
1972,Automobile,Pleasant Camp,26246
1972,Bus,Beaver Creek,6066
1972,Bus,Fraser,124
1972,Bus,Little Gold Creek,90
1972,Bus,Pleasant Camp,1260
1972,Train,Fraser,26183
1973,Automobile,Beaver Creek,73477
1973,Automobile,Fraser,1958
1973,Automobile,Little Gold Creek,11713
1973,Automobile,Pleasant Camp,28680
1973,Bus,Beaver Creek,9704
1973,Bus,Fraser,189
1973,Bus,Little Gold Creek,690
1973,Bus,Pleasant Camp,2129
1973,Train,Fraser,34262
1974,Automobile,Beaver Creek,58603
1974,Automobile,Fraser,1160
1974,Automobile,Little Gold Creek,8274
1974,Automobile,Pleasant Camp,35036
1974,Bus,Beaver Creek,11436
1974,Bus,Fraser,258
1974,Bus,Little Gold Creek,1299
1974,Bus,Pleasant Camp,2443
1974,Train,Fraser,35913
1975,Automobile,Beaver Creek,63215
1975,Automobile,Fraser,1782
1975,Automobile,Little Gold Creek,9845
1975,Automobile,Pleasant Camp,38423
1975,Bus,Beaver Creek,10488
1975,Bus,Fraser,126
1975,Bus,Little Gold Creek,1732
1975,Bus,Pleasant Camp,1563
1975,Train,Fraser,38647
1976,Automobile,Beaver Creek,66770
1976,Automobile,Fraser,1903
1976,Automobile,Little Gold Creek,10672
1976,Automobile,Pleasant Camp,33722
1976,Bus,Beaver Creek,10269
1976,Bus,Fraser,28
1976,Bus,Little Gold Creek,1014
1976,Bus,Pleasant Camp,1260
1976,Train,Fraser,42855
1977,Automobile,Beaver Creek,57566
1977,Automobile,Fraser,1642
1977,Automobile,Little Gold Creek,9990
1977,Automobile,Pleasant Camp,29300
1977,Bus,Beaver Creek,9587
1977,Bus,Fraser,74
1977,Bus,Little Gold Creek,1418
1977,Bus,Pleasant Camp,1027
1977,Train,Fraser,48609
1978,Automobile,Beaver Creek,78096
1978,Automobile,Fraser,2146
1978,Automobile,Little Gold Creek,12795
1978,Automobile,Pleasant Camp,38768
1978,Bus,Beaver Creek,10462
1978,Bus,Fraser,123
1978,Bus,Little Gold Creek,1550
1978,Bus,Pleasant Camp,1268
1978,Train,Fraser,39382
1979,Automobile,Beaver Creek,66001
1979,Automobile,Fraser,24697
1979,Automobile,Little Gold Creek,10252
1979,Automobile,Pleasant Camp,28069
1979,Bus,Beaver Creek,16240
1979,Bus,Fraser,15664
1979,Bus,Little Gold Creek,816
1979,Bus,Pleasant Camp,882
1979,Train,Fraser,31293
1980,Automobile,Beaver Creek,47719
1980,Automobile,Fraser,24548
1980,Automobile,Little Gold Creek,9026
1980,Automobile,Pleasant Camp,28983
1980,Bus,Beaver Creek,14377
1980,Bus,Fraser,13582
1980,Bus,Little Gold Creek,2974
1980,Bus,Pleasant Camp,2000
1980,Train,Fraser,15967
1981,Automobile,Beaver Creek,60664
1981,Automobile,Fraser,31943
1981,Automobile,Little Gold Creek,10967
1981,Automobile,Pleasant Camp,32760
1981,Bus,Beaver Creek,19867
1981,Bus,Fraser,13042
1981,Bus,Little Gold Creek,1571
1981,Bus,Pleasant Camp,1641
1981,Train,Fraser,16999
1982,Automobile,Beaver Creek,66739
1982,Automobile,Fraser,32086
1982,Automobile,Little Gold Creek,9929
1982,Automobile,Pleasant Camp,32833
1982,Bus,Beaver Creek,17830
1982,Bus,Fraser,11513
1982,Bus,Little Gold Creek,1629
1982,Bus,Pleasant Camp,1691
1982,Train,Fraser,15128
1983,Automobile,Beaver Creek,79433
1983,Automobile,Fraser,32401
1983,Automobile,Little Gold Creek,11178
1983,Automobile,Pleasant Camp,30272
1983,Bus,Beaver Creek,18699
1983,Bus,Fraser,34807
1983,Bus,Little Gold Creek,1498
1983,Bus,Pleasant Camp,1646
1984,Automobile,Beaver Creek,91121
1984,Automobile,Fraser,36790
1984,Automobile,Little Gold Creek,10296
1984,Automobile,Pleasant Camp,33735
1984,Bus,Beaver Creek,20811
1984,Bus,Fraser,27586
1984,Bus,Little Gold Creek,2186
1984,Bus,Pleasant Camp,1590
1985,Automobile,Beaver Creek,99782
1985,Automobile,Fraser,40856
1985,Automobile,Little Gold Creek,11838
1985,Automobile,Pleasant Camp,30126
1985,Bus,Beaver Creek,22687
1985,Bus,Fraser,37777
1985,Bus,Little Gold Creek,1714
1985,Bus,Pleasant Camp,1576
1986,Automobile,Beaver Creek,104489
1986,Automobile,Fraser,54141
1986,Automobile,Little Gold Creek,13424
1986,Automobile,Pleasant Camp,29638
1986,Bus,Beaver Creek,22562
1986,Bus,Fraser,40326
1986,Bus,Little Gold Creek,1507
1986,Bus,Pleasant Camp,1630
1987,Automobile,Beaver Creek,104263
1987,Automobile,Fraser,59387
1987,Automobile,Little Gold Creek,14804
1987,Automobile,Pleasant Camp,29708
1987,Bus,Beaver Creek,19995
1987,Bus,Fraser,39714
1987,Bus,Little Gold Creek,3561
1987,Bus,Pleasant Camp,2149
1988,Automobile,Beaver Creek,98898
1988,Automobile,Fraser,57110
1988,Automobile,Little Gold Creek,16686
1988,Automobile,Pleasant Camp,32741
1988,Bus,Beaver Creek,16480
1988,Bus,Fraser,25664
1988,Bus,Little Gold Creek,2361
1988,Bus,Pleasant Camp,2045
1989,Automobile,Beaver Creek,95577
1989,Automobile,Fraser,58931
1989,Automobile,Little Gold Creek,13334
1989,Automobile,Pleasant Camp,35426
1989,Bus,Beaver Creek,16294
1989,Bus,Fraser,23886
1989,Bus,Little Gold Creek,2320
1989,Bus,Pleasant Camp,2285
1989,Train,Fraser,9
1990,Automobile,Beaver Creek,96290
1990,Automobile,Fraser,58942
1990,Automobile,Little Gold Creek,13568
1990,Automobile,Pleasant Camp,40120
1990,Bus,Beaver Creek,14651
1990,Bus,Fraser,25350
1990,Bus,Little Gold Creek,1788
1990,Bus,Pleasant Camp,2834
1991,Automobile,Beaver Creek,91656
1991,Automobile,Fraser,53694
1991,Automobile,Little Gold Creek,13680
1991,Automobile,Pleasant Camp,39942
1991,Bus,Beaver Creek,19170
1991,Bus,Fraser,25947
1991,Bus,Little Gold Creek,1798
1991,Bus,Pleasant Camp,2686
1992,Automobile,Beaver Creek,112966
1992,Automobile,Fraser,61255
1992,Automobile,Little Gold Creek,16928
1992,Automobile,Pleasant Camp,40388
1992,Bus,Beaver Creek,18456
1992,Bus,Fraser,25842
1992,Bus,Little Gold Creek,3155
1992,Bus,Pleasant Camp,2761
1992,Train,Fraser,418
1993,Automobile,Beaver Creek,105066
1993,Automobile,Fraser,67153
1993,Automobile,Little Gold Creek,14072
1993,Automobile,Pleasant Camp,42365
1993,Bus,Beaver Creek,14536
1993,Bus,Fraser,29660
1993,Bus,Little Gold Creek,2822
1993,Bus,Pleasant Camp,2458
1993,Train,Fraser,14
1994,Automobile,Beaver Creek,95633
1994,Automobile,Fraser,71698
1994,Automobile,Little Gold Creek,18590
1994,Automobile,Pleasant Camp,39724
1994,Bus,Beaver Creek,13816
1994,Bus,Fraser,30445
1994,Bus,Little Gold Creek,2370
1994,Bus,Pleasant Camp,2516
1994,Train,Fraser,4601
1995,Automobile,Beaver Creek,101389
1995,Automobile,Fraser,79517
1995,Automobile,Little Gold Creek,16860
1995,Automobile,Pleasant Camp,39407
1995,Bus,Beaver Creek,12849
1995,Bus,Fraser,32518
1995,Bus,Little Gold Creek,2747
1995,Bus,Pleasant Camp,2246
1995,Train,Fraser,2670
1996,Automobile,Beaver Creek,88745
1996,Automobile,Fraser,79444
1996,Automobile,Little Gold Creek,16475
1996,Automobile,Pleasant Camp,37553
1996,Bus,Beaver Creek,13951
1996,Bus,Fraser,33663
1996,Bus,Little Gold Creek,2576
1996,Bus,Pleasant Camp,1858
1996,Train,Fraser,5328
1997,Automobile,Beaver Creek,88720
1997,Automobile,Fraser,83616
1997,Automobile,Little Gold Creek,13790
1997,Automobile,Pleasant Camp,36378
1997,Bus,Beaver Creek,11872
1997,Bus,Fraser,35688
1997,Bus,Little Gold Creek,2229
1997,Bus,Pleasant Camp,2318
1997,Train,Fraser,14966
1998,Automobile,Beaver Creek,101835
1998,Automobile,Fraser,89165
1998,Automobile,Little Gold Creek,16370
1998,Automobile,Pleasant Camp,38251
1998,Bus,Beaver Creek,10241
1998,Bus,Fraser,36744
1998,Bus,Little Gold Creek,2551
1998,Bus,Pleasant Camp,2165
1998,Train,Fraser,27263
1999,Automobile,Beaver Creek,103322
1999,Automobile,Fraser,87226
1999,Automobile,Little Gold Creek,16679
1999,Automobile,Pleasant Camp,37071
1999,Bus,Beaver Creek,9373
1999,Bus,Fraser,45569
1999,Bus,Little Gold Creek,2080
1999,Bus,Pleasant Camp,1896
1999,Train,Fraser,30971
2000,Automobile,Beaver Creek,97393
2000,Automobile,Fraser,80008
2000,Automobile,Little Gold Creek,14263
2000,Automobile,Pleasant Camp,37053
2000,Bus,Beaver Creek,8298
2000,Bus,Fraser,39971
2000,Bus,Little Gold Creek,1484
2000,Bus,Pleasant Camp,656
2000,Train,Fraser,38441
2001,Automobile,Beaver Creek,95933
2001,Automobile,Fraser,73396
2001,Automobile,Little Gold Creek,17069
2001,Automobile,Pleasant Camp,37078
2001,Bus,Beaver Creek,7160
2001,Bus,Fraser,31564
2001,Bus,Little Gold Creek,1338
2001,Bus,Pleasant Camp,652
2001,Train,Fraser,50868
2002,Automobile,Beaver Creek,98219
2002,Automobile,Fraser,89407
2002,Automobile,Little Gold Creek,15236
2002,Automobile,Pleasant Camp,42110
2002,Bus,Beaver Creek,4812
2002,Bus,Fraser,37859
2002,Bus,Little Gold Creek,1093
2002,Bus,Pleasant Camp,396
2002,Train,Fraser,38778
2003,Automobile,Beaver Creek,90714
2003,Automobile,Fraser,83569
2003,Automobile,Little Gold Creek,11881
2003,Automobile,Pleasant Camp,39324
2003,Bus,Beaver Creek,5531
2003,Bus,Fraser,42803
2003,Bus,Little Gold Creek,585
2003,Bus,Pleasant Camp,484
2003,Train,Fraser,50680
2004,Automobile,Beaver Creek,89080
2004,Automobile,Fraser,81162
2004,Automobile,Little Gold Creek,8039
2004,Automobile,Pleasant Camp,39417
2004,Bus,Beaver Creek,6305
2004,Bus,Fraser,60969
2004,Bus,Little Gold Creek,1801
2004,Bus,Pleasant Camp,291
2004,Train,Fraser,50815
2005,Automobile,Beaver Creek,82761
2005,Automobile,Fraser,77494
2005,Automobile,Little Gold Creek,9521
2005,Automobile,Pleasant Camp,38379
2005,Bus,Beaver Creek,6109
2005,Bus,Fraser,76444
2005,Bus,Little Gold Creek,1076
2005,Bus,Pleasant Camp,643
2005,Train,Fraser,54480
2006,Automobile,Beaver Creek,79070
2006,Automobile,Fraser,65961
2006,Automobile,Little Gold Creek,9281
2006,Automobile,Pleasant Camp,34375
2006,Bus,Beaver Creek,6231
2006,Bus,Fraser,87325
2006,Bus,Little Gold Creek,1001
2006,Bus,Pleasant Camp,712
2006,Train,Fraser,71436
2007,Automobile,Beaver Creek,79568
2007,Automobile,Fraser,62455
2007,Automobile,Little Gold Creek,10419
2007,Automobile,Pleasant Camp,32046
2007,Bus,Beaver Creek,6177
2007,Bus,Fraser,102326
2007,Bus,Little Gold Creek,1200
2007,Bus,Pleasant Camp,1120
2007,Train,Fraser,77776
2008,Automobile,Beaver Creek,64131
2008,Automobile,Fraser,65302
2008,Automobile,Little Gold Creek,8455
2008,Automobile,Pleasant Camp,28216
2008,Bus,Beaver Creek,5551
2008,Bus,Fraser,90450
2008,Bus,Little Gold Creek,1326
2008,Bus,Pleasant Camp,379
2008,Train,Fraser,80273
2009,Automobile,Beaver Creek,63202
2009,Automobile,Fraser,70066
2009,Automobile,Little Gold Creek,6806
2009,Automobile,Pleasant Camp,25843
2009,Bus,Beaver Creek,3592
2009,Bus,Fraser,74426
2009,Bus,Little Gold Creek,2096
2009,Bus,Pleasant Camp,102
2009,Train,Fraser,69943
2010,Automobile,Beaver Creek,70454
2010,Automobile,Fraser,76509
2010,Automobile,Little Gold Creek,5328
2010,Automobile,Pleasant Camp,24819
2010,Bus,Beaver Creek,6881
2010,Bus,Fraser,91750
2010,Bus,Little Gold Creek,1033
2010,Bus,Pleasant Camp,116
2010,Train,Fraser,76478
2011,Automobile,Beaver Creek,58661
2011,Automobile,Fraser,80111
2011,Automobile,Little Gold Creek,7303
2011,Automobile,Pleasant Camp,24389
2011,Bus,Beaver Creek,5327
2011,Bus,Fraser,91706
2011,Bus,Little Gold Creek,6381
2011,Bus,Pleasant Camp,243
2011,Train,Fraser,76150
2012,Automobile,Beaver Creek,58270
2012,Automobile,Fraser,83132
2012,Automobile,Little Gold Creek,5631
2012,Automobile,Pleasant Camp,23839
2012,Bus,Beaver Creek,4381
2012,Bus,Fraser,102091
2012,Bus,Little Gold Creek,3988
2012,Bus,Pleasant Camp,129
2012,Train,Fraser,75769
2013,Automobile,Beaver Creek,58392
2013,Automobile,Fraser,96207
2013,Automobile,Little Gold Creek,9563
2013,Automobile,Pleasant Camp,23455
2013,Bus,Beaver Creek,4284
2013,Bus,Fraser,118463
2013,Bus,Little Gold Creek,4435
2013,Bus,Pleasant Camp,79
2013,Train,Fraser,75056
2014,Automobile,Beaver Creek,57614
2014,Automobile,Fraser,83461
2014,Automobile,Little Gold Creek,7236
2014,Automobile,Pleasant Camp,26310
2014,Bus,Beaver Creek,1421
2014,Bus,Fraser,108957
2014,Bus,Little Gold Creek,596
2014,Bus,Pleasant Camp,213
2014,Train,Fraser,71174
2015,Automobile,Beaver Creek,57011
2015,Automobile,Fraser,67487
2015,Automobile,Little Gold Creek,8555
2015,Automobile,Pleasant Camp,29839
2015,Bus,Beaver Creek,1865
2015,Bus,Fraser,109415
2015,Bus,Little Gold Creek,422
2015,Bus,Pleasant Camp,955
2015,Train,Fraser,74587
2016,Automobile,Beaver Creek,65188
2016,Automobile,Fraser,78955
2016,Automobile,Little Gold Creek,9640
2016,Automobile,Pleasant Camp,33596
2016,Bus,Beaver Creek,1549
2016,Bus,Fraser,102238
2016,Bus,Little Gold Creek,348
2016,Bus,Pleasant Camp,835
2016,Train,Fraser,73383
2017,Automobile,Beaver Creek,78990
2017,Automobile,Fraser,82036
2017,Automobile,Little Gold Creek,12235
2017,Automobile,Pleasant Camp,33691
2017,Bus,Beaver Creek,2235
2017,Bus,Fraser,114023
2017,Bus,Little Gold Creek,345
2017,Bus,Pleasant Camp,1256
2017,Train,Fraser,66691
2018,Automobile,Beaver Creek,81504
2018,Automobile,Fraser,87548
2018,Automobile,Little Gold Creek,12061
2018,Automobile,Pleasant Camp,34154
2018,Bus,Beaver Creek,2184
2018,Bus,Fraser,144072
2018,Bus,Little Gold Creek,521
2018,Bus,Pleasant Camp,1142
2018,Train,Fraser,89471
2019,Automobile,Beaver Creek,76181
2019,Automobile,Fraser,94375
2019,Automobile,Little Gold Creek,11497
2019,Automobile,Pleasant Camp,35016
2019,Bus,Beaver Creek,1769
2019,Bus,Fraser,155506
2019,Bus,Little Gold Creek,261
2019,Bus,Pleasant Camp,1974
2019,Train,Fraser,65970
2020,Automobile,Beaver Creek,22610
2020,Automobile,Fraser,3880
2020,Automobile,Pleasant Camp,3472
2020,Bus,Beaver Creek,47
2020,Bus,Fraser,29
2020,Bus,Pleasant Camp,53
2021,Automobile,Beaver Creek,25375
2021,Automobile,Fraser,3166
2021,Automobile,Pleasant Camp,4070
2021,Bus,Beaver Creek,40
2021,Bus,Fraser,17
2021,Bus,Pleasant Camp,11
2022,Automobile,Beaver Creek,51237
2022,Automobile,Fraser,51967
2022,Automobile,Little Gold Creek,7409
2022,Automobile,Pleasant Camp,23032
2022,Bus,Beaver Creek,1153
2022,Bus,Fraser,24997
2022,Bus,Little Gold Creek,495
2022,Bus,Pleasant Camp,941
2022,Train,Fraser,16
2023,Automobile,Beaver Creek,64216
2023,Automobile,Fraser,82613
2023,Automobile,Little Gold Creek,9432
2023,Automobile,Pleasant Camp,31246
2023,Bus,Beaver Creek,1627
2023,Bus,Fraser,160661
2023,Bus,Little Gold Creek,104
2023,Bus,Pleasant Camp,1368
2023,Train,Fraser,90643
2024,Automobile,Beaver Creek,48727
2024,Automobile,Fraser,66792
2024,Automobile,Little Gold Creek,4343
2024,Automobile,Pleasant Camp,16459
2024,Bus,Beaver Creek,1568
2024,Bus,Fraser,158454
2024,Bus,Little Gold Creek,65
2024,Bus,Pleasant Camp,920
2024,Train,Fraser,91623
