"date","year","month","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2009-01-01",2009,1,3000.0,,,3000.0,0.0,,January - January
"2009-02-01",2009,2,5000.0,,,8000.0,0.0,,January - February
"2009-03-01",2009,3,4000.0,,,12000.0,0.0,,January - March
"2009-04-01",2009,4,7000.0,,,19000.0,0.0,,January - April
"2009-05-01",2009,5,37000.0,,,56000.0,0.0,,January - May
"2009-06-01",2009,6,65000.0,,,121000.0,0.0,,January - June
"2009-07-01",2009,7,88000.0,,,209000.0,0.0,,January - July
"2009-08-01",2009,8,82000.0,,,291000.0,0.0,,January - August
"2009-09-01",2009,9,45000.0,,,336000.0,0.0,,January - September
"2009-10-01",2009,10,12000.0,,,348000.0,0.0,,January - October
"2009-11-01",2009,11,6000.0,,,354000.0,0.0,,January - November
"2009-12-01",2009,12,5000.0,,,359000.0,0.0,,January - December
"2010-01-01",2010,1,4000.0,3000.0,33.3,4000.0,3000.0,33.3,January - January
"2010-02-01",2010,2,5000.0,5000.0,0.0,9000.0,8000.0,12.5,January - February
"2010-03-01",2010,3,5000.0,4000.0,25.0,14000.0,12000.0,16.7,January - March
"2010-04-01",2010,4,9000.0,7000.0,28.6,23000.0,19000.0,21.1,January - April
"2010-05-01",2010,5,39000.0,37000.0,5.4,62000.0,56000.0,10.7,January - May
"2010-06-01",2010,6,71000.0,65000.0,9.2,133000.0,121000.0,9.9,January - June
"2010-07-01",2010,7,91000.0,88000.0,3.4,224000.0,209000.0,7.2,January - July
"2010-08-01",2010,8,91000.0,82000.0,11.0,315000.0,291000.0,8.2,January - August
"2010-09-01",2010,9,49000.0,45000.0,8.9,364000.0,336000.0,8.3,January - September
"2010-10-01",2010,10,12000.0,12000.0,0.0,376000.0,348000.0,8.0,January - October
"2010-11-01",2010,11,5000.0,6000.0,-16.7,381000.0,354000.0,7.6,January - November
"2010-12-01",2010,12,5000.0,5000.0,0.0,386000.0,359000.0,7.5,January - December
"2011-01-01",2011,1,5000.0,4000.0,25.0,5000.0,4000.0,25.0,January - January
"2011-02-01",2011,2,5000.0,5000.0,0.0,10000.0,9000.0,11.1,January - February
"2011-03-01",2011,3,4000.0,5000.0,-20.0,14000.0,14000.0,0.0,January - March
"2011-04-01",2011,4,9000.0,9000.0,0.0,23000.0,23000.0,0.0,January - April
"2011-05-01",2011,5,39000.0,39000.0,0.0,62000.0,62000.0,0.0,January - May
"2011-06-01",2011,6,64000.0,71000.0,-9.9,126000.0,133000.0,-5.3,January - June
"2011-07-01",2011,7,90000.0,91000.0,-1.1,216000.0,224000.0,-3.6,January - July
"2011-08-01",2011,8,91000.0,91000.0,0.0,307000.0,315000.0,-2.5,January - August
"2011-09-01",2011,9,51000.0,49000.0,4.1,358000.0,364000.0,-1.6,January - September
"2011-10-01",2011,10,12000.0,12000.0,0.0,370000.0,376000.0,-1.6,January - October
"2011-11-01",2011,11,5000.0,5000.0,0.0,375000.0,381000.0,-1.6,January - November
"2011-12-01",2011,12,5000.0,5000.0,0.0,380000.0,386000.0,-1.6,January - December
"2012-01-01",2012,1,4000.0,5000.0,-20.0,4000.0,5000.0,-20.0,January - January
"2012-02-01",2012,2,5000.0,5000.0,0.0,9000.0,10000.0,-10.0,January - February
"2012-03-01",2012,3,5000.0,4000.0,25.0,14000.0,14000.0,0.0,January - March
"2012-04-01",2012,4,9000.0,9000.0,0.0,23000.0,23000.0,0.0,January - April
"2012-05-01",2012,5,39000.0,39000.0,0.0,62000.0,62000.0,0.0,January - May
"2012-06-01",2012,6,63000.0,64000.0,-1.6,125000.0,126000.0,-0.8,January - June
"2012-07-01",2012,7,96000.0,90000.0,6.7,221000.0,216000.0,2.3,January - July
"2012-08-01",2012,8,94000.0,91000.0,3.3,315000.0,307000.0,2.6,January - August
"2012-09-01",2012,9,52000.0,51000.0,2.0,367000.0,358000.0,2.5,January - September
"2012-10-01",2012,10,12000.0,12000.0,0.0,379000.0,370000.0,2.4,January - October
"2012-11-01",2012,11,5000.0,5000.0,0.0,384000.0,375000.0,2.4,January - November
"2012-12-01",2012,12,5000.0,5000.0,0.0,389000.0,380000.0,2.4,January - December
"2013-01-01",2013,1,4000.0,4000.0,0.0,4000.0,4000.0,0.0,January - January
"2013-02-01",2013,2,5000.0,5000.0,0.0,9000.0,9000.0,0.0,January - February
"2013-03-01",2013,3,5000.0,5000.0,0.0,14000.0,14000.0,0.0,January - March
"2013-04-01",2013,4,8000.0,9000.0,-11.1,22000.0,23000.0,-4.3,January - April
"2013-05-01",2013,5,40000.0,39000.0,2.6,62000.0,62000.0,0.0,January - May
"2013-06-01",2013,6,80000.0,63000.0,27.0,142000.0,125000.0,13.6,January - June
"2013-07-01",2013,7,98000.0,96000.0,2.1,240000.0,221000.0,8.6,January - July
"2013-08-01",2013,8,106000.0,94000.0,12.8,346000.0,315000.0,9.8,January - August
"2013-09-01",2013,9,51000.0,52000.0,-1.9,397000.0,367000.0,8.2,January - September
"2013-10-01",2013,10,12000.0,12000.0,0.0,409000.0,379000.0,7.9,January - October
"2013-11-01",2013,11,6000.0,5000.0,20.0,415000.0,384000.0,8.1,January - November
"2013-12-01",2013,12,5000.0,5000.0,0.0,420000.0,389000.0,8.0,January - December
"2014-01-01",2014,1,5000.0,4000.0,25.0,5000.0,4000.0,25.0,January - January
"2014-02-01",2014,2,5000.0,5000.0,0.0,10000.0,9000.0,11.1,January - February
"2014-03-01",2014,3,5000.0,5000.0,0.0,15000.0,14000.0,7.1,January - March
"2014-04-01",2014,4,8000.0,8000.0,0.0,23000.0,22000.0,4.5,January - April
"2014-05-01",2014,5,40000.0,40000.0,0.0,63000.0,62000.0,1.6,January - May
"2014-06-01",2014,6,72000.0,80000.0,-10.0,135000.0,142000.0,-4.9,January - June
"2014-07-01",2014,7,88000.0,98000.0,-10.2,223000.0,240000.0,-7.1,January - July
"2014-08-01",2014,8,94000.0,106000.0,-11.3,317000.0,346000.0,-8.4,January - August
