"date","year","month","transportation_type","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"2018-01-01",2018,1,automobile,2730.0,,,2730.0,0.0,,January - January
"2018-02-01",2018,2,automobile,2632.0,,,5362.0,0.0,,January - February
"2018-03-01",2018,3,automobile,3060.0,,,8422.0,0.0,,January - March
"2018-04-01",2018,4,automobile,7102.0,,,15524.0,0.0,,January - April
"2018-05-01",2018,5,automobile,31627.0,,,47151.0,0.0,,January - May
"2018-06-01",2018,6,automobile,57748.0,,,104899.0,0.0,,January - June
"2018-07-01",2018,7,automobile,84261.0,,,189160.0,0.0,,January - July
"2018-08-01",2018,8,automobile,82022.0,,,271182.0,0.0,,January - August
"2018-09-01",2018,9,automobile,49052.0,,,320234.0,0.0,,January - September
"2018-10-01",2018,10,automobile,12686.0,,,332920.0,0.0,,January - October
"2018-11-01",2018,11,automobile,4024.0,,,336944.0,0.0,,January - November
"2018-12-01",2018,12,automobile,3052.0,,,339996.0,0.0,,January - December
"2018-01-01",2018,1,bus,0.0,,,0.0,0.0,,January - January
"2018-02-01",2018,2,bus,0.0,,,0.0,0.0,,January - February
"2018-03-01",2018,3,bus,0.0,,,0.0,0.0,,January - March
"2018-04-01",2018,4,bus,0.0,,,0.0,0.0,,January - April
"2018-05-01",2018,5,bus,6197.0,,,6197.0,0.0,,January - May
"2018-06-01",2018,6,bus,9395.0,,,15592.0,0.0,,January - June
"2018-07-01",2018,7,bus,8443.0,,,24035.0,0.0,,January - July
"2018-08-01",2018,8,bus,13151.0,,,37186.0,0.0,,January - August
"2018-09-01",2018,9,bus,6590.0,,,43776.0,0.0,,January - September
"2018-10-01",2018,10,bus,0.0,,,43776.0,0.0,,January - October
"2018-11-01",2018,11,bus,0.0,,,43776.0,0.0,,January - November
"2018-12-01",2018,12,bus,0.0,,,43776.0,0.0,,January - December
"2018-01-01",2018,1,plane,3354.0,,,3354.0,0.0,,January - January
"2018-02-01",2018,2,plane,4086.0,,,7440.0,0.0,,January - February
"2018-03-01",2018,3,plane,2888.0,,,10328.0,0.0,,January - March
"2018-04-01",2018,4,plane,2882.0,,,13210.0,0.0,,January - April
"2018-05-01",2018,5,plane,4333.0,,,17543.0,0.0,,January - May
"2018-06-01",2018,6,plane,6776.0,,,24319.0,0.0,,January - June
"2018-07-01",2018,7,plane,9755.0,,,34074.0,0.0,,January - July
"2018-08-01",2018,8,plane,11936.0,,,46010.0,0.0,,January - August
"2018-09-01",2018,9,plane,7911.0,,,53921.0,0.0,,January - September
"2018-10-01",2018,10,plane,3115.0,,,57036.0,0.0,,January - October
"2018-11-01",2018,11,plane,3712.0,,,60748.0,0.0,,January - November
"2018-12-01",2018,12,plane,3979.0,,,64727.0,0.0,,January - December
"2018-01-01",2018,1,train,0.0,,,0.0,0.0,,January - January
"2018-02-01",2018,2,train,0.0,,,0.0,0.0,,January - February
"2018-03-01",2018,3,train,0.0,,,0.0,0.0,,January - March
"2018-04-01",2018,4,train,0.0,,,0.0,0.0,,January - April
"2018-05-01",2018,5,train,6295.0,,,6295.0,0.0,,January - May
"2018-06-01",2018,6,train,13006.0,,,19301.0,0.0,,January - June
"2018-07-01",2018,7,train,10358.0,,,29659.0,0.0,,January - July
"2018-08-01",2018,8,train,8928.0,,,38587.0,0.0,,January - August
"2018-09-01",2018,9,train,3410.0,,,41997.0,0.0,,January - September
"2018-10-01",2018,10,train,0.0,,,41997.0,0.0,,January - October
"2018-11-01",2018,11,train,0.0,,,41997.0,0.0,,January - November
"2018-12-01",2018,12,train,0.0,,,41997.0,0.0,,January - December
"2019-01-01",2019,1,automobile,2857.0,2730.0,4.7,2857.0,2730.0,4.7,January - January
"2019-02-01",2019,2,automobile,2728.0,2632.0,3.6,5585.0,5362.0,4.2,January - February
"2019-03-01",2019,3,automobile,3204.0,3060.0,4.7,8789.0,8422.0,4.4,January - March
"2019-04-01",2019,4,automobile,7313.0,7102.0,3.0,16102.0,15524.0,3.7,January - April
"2019-05-01",2019,5,automobile,33595.0,31627.0,6.2,49697.0,47151.0,5.4,January - May
"2019-06-01",2019,6,automobile,59001.0,57748.0,2.2,108698.0,104899.0,3.6,January - June
"2019-07-01",2019,7,automobile,82686.0,84261.0,-1.9,191384.0,189160.0,1.2,January - July
"2019-08-01",2019,8,automobile,82091.0,82022.0,0.1,273475.0,271182.0,0.8,January - August
"2019-09-01",2019,9,automobile,47958.0,49052.0,-2.2,321433.0,320234.0,0.4,January - September
"2019-10-01",2019,10,automobile,13184.0,12686.0,3.9,334617.0,332920.0,0.5,January - October
"2019-11-01",2019,11,automobile,4014.0,4024.0,-0.2,338631.0,336944.0,0.5,January - November
"2019-12-01",2019,12,automobile,3082.0,3052.0,1.0,341713.0,339996.0,0.5,January - December
"2019-01-01",2019,1,bus,0.0,0.0,,0.0,0.0,,January - January
"2019-02-01",2019,2,bus,0.0,0.0,,0.0,0.0,,January - February
"2019-03-01",2019,3,bus,0.0,0.0,,0.0,0.0,,January - March
"2019-04-01",2019,4,bus,0.0,0.0,,0.0,0.0,,January - April
"2019-05-01",2019,5,bus,6968.0,6197.0,12.4,6968.0,6197.0,12.4,January - May
"2019-06-01",2019,6,bus,9685.0,9395.0,3.1,16653.0,15592.0,6.8,January - June
"2019-07-01",2019,7,bus,9240.0,8443.0,9.4,25893.0,24035.0,7.7,January - July
"2019-08-01",2019,8,bus,13631.0,13151.0,3.6,39524.0,37186.0,6.3,January - August
"2019-09-01",2019,9,bus,7293.0,6590.0,10.7,46817.0,43776.0,6.9,January - September
"2019-10-01",2019,10,bus,0.0,0.0,,46817.0,43776.0,6.9,January - October
"2019-11-01",2019,11,bus,0.0,0.0,,46817.0,43776.0,6.9,January - November
"2019-12-01",2019,12,bus,0.0,0.0,,46817.0,43776.0,6.9,January - December
"2019-01-01",2019,1,plane,3836.0,3354.0,14.4,3836.0,3354.0,14.4,January - January
"2019-02-01",2019,2,plane,4631.0,4086.0,13.3,8467.0,7440.0,13.8,January - February
"2019-03-01",2019,3,plane,3423.0,2888.0,18.5,11890.0,10328.0,15.1,January - March
"2019-04-01",2019,4,plane,3166.0,2882.0,9.9,15056.0,13210.0,14.0,January - April
"2019-05-01",2019,5,plane,4816.0,4333.0,11.1,19872.0,17543.0,13.3,January - May
