"date","year","month","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"1977-01-01",1977,1,8948,8440,6.0,8948,8440,6.0,January - January
"1977-02-01",1977,2,8410,9254,-9.1,17358,17694,-1.9,January - February
"1977-03-01",1977,3,11670,11212,4.1,29028,28906,0.4,January - March
"1977-04-01",1977,4,13402,13756,-2.6,42430,42662,-0.5,January - April
"1977-05-01",1977,5,23390,25916,-9.7,65820,68578,-4.0,January - May
"1977-06-01",1977,6,53176,59440,-10.5,118996,128018,-7.0,January - June
"1977-07-01",1977,7,80352,92158,-12.8,199348,220176,-9.5,January - July
"1977-08-01",1977,8,79986,84252,-5.1,279334,304428,-8.2,January - August
"1977-09-01",1977,9,44914,44184,1.7,324248,348612,-7.0,January - September
"1977-10-01",1977,10,16204,17490,-7.4,340452,366102,-7.0,January - October
"1977-11-01",1977,11,9936,12006,-17.2,350388,378108,-7.3,January - November
"1977-12-01",1977,12,9258,9840,-5.9,359646,387948,-7.3,January - December
"1978-01-01",1978,1,6982,8948,-22.0,6982,8948,-22.0,January - January
"1978-02-01",1978,2,7940,8410,-5.6,14922,17358,-14.0,January - February
"1978-03-01",1978,3,11082,11670,-5.0,26004,29028,-10.4,January - March
"1978-04-01",1978,4,14712,13402,9.8,40716,42430,-4.0,January - April
"1978-05-01",1978,5,23098,23390,-1.2,63814,65820,-3.0,January - May
"1978-06-01",1978,6,58706,53176,10.4,122520,118996,3.0,January - June
"1978-07-01",1978,7,102486,80352,27.5,225006,199348,12.9,January - July
"1978-08-01",1978,8,97910,79986,22.4,322916,279334,15.6,January - August
"1978-09-01",1978,9,51926,44914,15.6,374842,324248,15.6,January - September
"1978-10-01",1978,10,20210,16204,24.7,395052,340452,16.0,January - October
"1978-11-01",1978,11,14018,9936,41.1,409070,350388,16.7,January - November
"1978-12-01",1978,12,10784,9258,16.5,419854,359646,16.7,January - December
"1979-01-01",1979,1,8906,6982,27.6,8906,6982,27.6,January - January
"1979-02-01",1979,2,6758,7940,-14.9,15664,14922,5.0,January - February
"1979-03-01",1979,3,11102,11082,0.2,26766,26004,2.9,January - March
"1979-04-01",1979,4,13686,14712,-7.0,40452,40716,-0.6,January - April
"1979-05-01",1979,5,28218,23098,22.2,68670,63814,7.6,January - May
"1979-06-01",1979,6,75776,58706,29.1,144446,122520,17.9,January - June
"1979-07-01",1979,7,105690,102486,3.1,250136,225006,11.2,January - July
"1979-08-01",1979,8,102658,97910,4.8,352794,322916,9.3,January - August
"1979-09-01",1979,9,54190,51926,4.4,406984,374842,8.6,January - September
"1979-10-01",1979,10,18754,20210,-7.2,425738,395052,7.8,January - October
"1979-11-01",1979,11,6916,14018,-50.7,432654,409070,5.8,January - November
"1979-12-01",1979,12,5316,10784,-50.7,437970,419854,4.3,January - December
"1980-01-01",1980,1,4692,8906,-47.3,4692,8906,-47.3,January - January
"1980-02-01",1980,2,4740,6758,-29.9,9432,15664,-39.8,January - February
"1980-03-01",1980,3,7312,11102,-34.1,16744,26766,-37.4,January - March
"1980-04-01",1980,4,10118,13686,-26.1,26862,40452,-33.6,January - April
"1980-05-01",1980,5,21038,28218,-25.4,47900,68670,-30.2,January - May
"1980-06-01",1980,6,60886,75776,-19.7,108786,144446,-24.7,January - June
"1980-07-01",1980,7,95526,105690,-9.6,204312,250136,-18.3,January - July
"1980-08-01",1980,8,92928,102658,-9.5,297240,352794,-15.7,January - August
"1980-09-01",1980,9,41524,54190,-23.4,338764,406984,-16.8,January - September
"1980-10-01",1980,10,13286,18754,-29.2,352050,425738,-17.3,January - October
"1980-11-01",1980,11,7782,6916,12.5,359832,432654,-16.8,January - November
"1980-12-01",1980,12,5460,5316,2.7,365292,437970,-16.6,January - December
"1993-01-01",1993,1,10896,11148,-2.3,10896,11148,-2.3,January - January
"1993-02-01",1993,2,10852,10986,-1.2,21748,22134,-1.7,January - February
"1993-03-01",1993,3,17804,19020,-6.4,39552,41154,-3.9,January - March
"1993-04-01",1993,4,19540,21964,-11.0,59092,63118,-6.4,January - April
"1993-05-01",1993,5,44770,42524,5.3,103862,105642,-1.7,January - May
"1993-06-01",1993,6,109318,110794,-1.3,213180,216436,-1.5,January - June
"1993-07-01",1993,7,181678,188558,-3.6,394858,404994,-2.5,January - July
"1993-08-01",1993,8,145176,154730,-6.2,540034,559724,-3.5,January - August
"1993-09-01",1993,9,62408,61690,1.2,602442,621414,-3.1,January - September
"1993-10-01",1993,10,20828,20726,0.5,623270,642140,-2.9,January - October
"1993-11-01",1993,11,12650,13674,-7.5,635920,655814,-3.0,January - November
"1993-12-01",1993,12,8964,12028,-25.5,644884,667842,-3.4,January - December
"1994-01-01",1994,1,9320,10896,-14.5,9320,10896,-14.5,January - January
"1994-02-01",1994,2,9678,10852,-10.8,18998,21748,-12.6,January - February
"1994-03-01",1994,3,11878,17804,-33.3,30876,39552,-21.9,January - March
"1994-04-01",1994,4,20064,19540,2.7,50940,59092,-13.8,January - April
"1994-05-01",1994,5,43604,44770,-2.6,94544,103862,-9.0,January - May
"1994-06-01",1994,6,113806,109318,4.1,208350,213180,-2.3,January - June
"1994-07-01",1994,7,174004,181678,-4.2,382354,394858,-3.2,January - July
"1994-08-01",1994,8,151486,145176,4.3,533840,540034,-1.1,January - August
"1994-09-01",1994,9,68900,62408,10.4,602740,602442,0.0,January - September
"1994-10-01",1994,10,20794,20828,-0.2,623534,623270,0.0,January - October
"1994-11-01",1994,11,12248,12650,-3.2,635782,635920,0.0,January - November
"1994-12-01",1994,12,10996,8964,22.7,646778,644884,0.3,January - December
"1995-01-01",1995,1,10750,9320,15.3,10750,9320,15.3,January - January
"1995-02-01",1995,2,9520,9678,-1.6,20270,18998,6.7,January - February
"1995-03-01",1995,3,14376,11878,21.0,34646,30876,12.2,January - March
"1995-04-01",1995,4,21946,20064,9.4,56592,50940,11.1,January - April
"1974-01-01",1974,1,6260,5790,8.1,6260,5790,8.1,January - January
"1974-02-01",1974,2,6684,6116,9.3,12944,11906,8.7,January - February
"1974-03-01",1974,3,10010,8368,19.6,22954,20274,13.2,January - March
"1974-04-01",1974,4,12580,10794,16.5,35534,31068,14.4,January - April
"1974-05-01",1974,5,22078,22568,-2.2,57612,53636,7.4,January - May
"1974-06-01",1974,6,56148,57038,-1.6,113760,110674,2.8,January - June
"1974-07-01",1974,7,84992,92544,-8.2,198752,203218,-2.2,January - July
"1974-08-01",1974,8,82266,86684,-5.1,281018,289902,-3.1,January - August
"1974-09-01",1974,9,43420,40306,7.7,324438,330208,-1.7,January - September
"1974-10-01",1974,10,19500,14650,33.1,343938,344858,-0.3,January - October
"1974-11-01",1974,11,11278,10050,12.2,355216,354908,0.1,January - November
"1974-12-01",1974,12,10968,9384,16.9,366184,364292,0.5,January - December
"1976-01-01",1976,1,8440,7486,12.7,8440,7486,12.7,January - January
"1976-02-01",1976,2,9254,9040,2.4,17694,16526,7.1,January - February
"1976-03-01",1976,3,11212,13984,-19.8,28906,30510,-5.3,January - March
"1976-04-01",1976,4,13756,14972,-8.1,42662,45482,-6.2,January - April
"1976-05-01",1976,5,25916,26482,-2.1,68578,71964,-4.7,January - May
"1976-06-01",1976,6,59440,59916,-0.8,128018,131880,-2.9,January - June
"1976-07-01",1976,7,92158,92080,0.1,220176,223960,-1.7,January - July
